stations,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
2,0.98,0.98,0.943,1.02016,0.79038,1.0604,1.30008,0.98,1.14182,1.57576,1.2644,1.02008
4,0.94008,0.98,0.98142,0.94008,0.91014,1.2615,0.98064,0.98198,1.38134,1.57,1.26008,0.98
5,0.98,0.98,0.9415,0.94008,1.23788,1.22008,1.22016,0.98198,1.14182,1.4203,1.26,0.98064
6,0.94008,0.98,0.94,0.94008,0.67062,1.40334,1.4,1.40114,1.38134,1.4203,1.38,0.9808
11,0.98064,0.98,2.443,0.98206,1.06056,1.22008,1.22244,1.26142,1.14182,1.58032,0.98056,0.9804
12,0.98016,0.98,0.943,0.98206,0.79038,1.0604,1.03014,1.85024,1.14182,1.30054,2.01032,1.65466
13,0.98118,0.98,0.98,0.94008,0.91014,1.26362,0.98,0.98198,2.05306,1.57,1.26062,0.98118
15,0.98024,0.98024,0.94,0.94008,0.99836,1.10032,1.02,0.98198,1.14182,1.30054,1.2615,1.1
16,0.98,2.13,1.1819,0.94008,0.98096,3.07182,0.98,0.98198,3.58,1.30054,1.26102,0.94008
18,0.98222,0.98,0.94,0.98,1.18056,1.10032,1.26048,1.0219,2.05,1.30054,1.02048,0.98
19,0.98222,0.98,1.02104,0.98222,1.26166,1.26166,1.17184,1.97024,1.34142,1.30008,1.38126,1.02008
20,0.98,0.98,0.94,0.98,1.5,1.50496,1.5,1.50094,1.14182,1.30054,1.26048,0.98
21,1.34,1.0608,0.94024,0.98096,1.4774,1.10032,1.2604,1.46102,2.05,1.30054,1.26016,1.06056
22,0.98008,0.98,0.94008,0.98,1.18,1.14024,1.14024,0.98198,1.8504,1.30054,1.02048,0.98
23,1.0219,1.0608,0.98016,0.98,0.98024,3.99228,1.27772,0.98198,1.8504,1.30054,1.26008,1.02
24,0.98,0.94008,0.94016,0.9812,1.58,1.02048,0.98024,1.58078,1.14182,1.3004,1.0604,1.02
25,1.0219,0.98,0.94,0.98,0.87022,1.26544,0.98056,0.98198,2.05,1.50014,0.98056,0.98
26,3.98,0.98024,0.98024,0.98,0.99836,1.10032,0.98,1.97402,1.14182,1.50014,1.10032,1.54488
28,3.94112,0.98,0.91014,0.67048,0.98592,1.0604,1.5003,1.30684,1.22,1.14206,1.0604,0.95006
29,3.94112,0.98,0.71054,0.55024,0.98592,1.0604,1.5003,1.30684,1.1202,1.14206,1.0604,0.94002
30,3.94112,0.98,0.75,0.6707,0.98592,1.18016,0.91118,1.227,1.1217,1.14206,1.0604,1.1089
32,0.98592,0.98,0.71046,0.37012,0.98592,0.67118,0.79,0.6304,1.07858,0.94,1.0604,0.91006
33,1.10568,0.91014,0.92004,0.91006,0.98592,1.26008,1.81394,1.9755,1.98676,1.30102,1.81252,1.1089
34,1.02584,0.98048,2.36016,0.91006,0.98592,1.26008,0.91014,0.98198,1.98676,1.26008,1.22008,1.46
35,1.02584,0.98,0.98,0.94008,0.98592,1.26008,0.91014,1.9755,1.35802,1.26008,0.98056,0.98016
36,1.02584,0.94008,0.94,0.94008,0.98592,1.30048,1.54,0.98198,1.98676,1.06048,0.98056,0.98008
38,1.02584,0.94,0.94008,0.94008,0.98592,1.26008,0.75032,1.9755,1.47778,1.30032,1.2604,1.18056
39,1.1955,1.10018,0.94008,0.98,0.98592,1.26008,1.0219,1.9755,1.98676,1.97,1.26142,1.18002
40,1.02584,0.98016,0.94024,0.98016,1.06576,1.26008,0.91,1.9755,1.98676,1.1004,1.0604,0.9804
